Vendor	Description	Date	Amount	Category
airgas	Airgas	1/6/2016	109.03	Facility Services
airgas	Airgas	1/20/2016	109.03	Facility Services
anton paar usa	Anton Paar USA	1/20/2016	7275.38	Lab Supplies
bik rchg, nov'15	BIK Rchg, Nov'15	1/28/2016	51.63	Facility Services
cmptg dvc sprt rchg	Cmptg Dvc Sprt Rchg	1/31/2016	1.02	Facility Services
fisher	Fisher	1/14/2016	491.23	Lab Supplies
locknetics	locknetics	1/31/2016	843.22	Facility Services
gen/auto/liab	gen/auto/liab	1/31/2016	1.15	Facility Services
gen/auto/liab	gen/auto/liab	1/31/2016	49.51	Facility Services
hampton rsrch	Hampton Rsrch	1/27/2016	399.11	Screens
network rchg	Network Rchg	1/31/2016	33.62	Facility Services
qiagen	Qiagen	1/5/2016	280.46	Screens
qiagen	Qiagen	1/5/2016	280.47	Screens
qiagen	Qiagen	1/5/2016	280.47	Screens
qiagen	Qiagen	1/5/2016	280.47	Screens
qiagen	Qiagen	1/20/2016	280.47	Screens
mt rainin	mt rainin	1/6/2016	524.39	Lab Supplies
remi	Remi	1/11/2016	717.35	Misc
ttp labtech	TTP Labtech	1/11/2016	355.29	TTP Labtech
ttp labtech	TTP Labtech	1/11/2016	355.29	TTP Labtech
ttp labtech	TTP Labtech	1/11/2016	1727.57	TTP Labtech
ttp labtech	TTP Labtech	1/13/2016	1735.64	TTP Labtech
ttp labtech	TTP Labtech	1/13/2016	1735.34	TTP Labtech
ttp labtech	TTP Labtech	1/22/2016	-1735.64	TTP Labtech
ttp labtech	TTP Labtech	1/13/2016	9.8	TTP Labtech
vpl	VPL	1/6/2016	10.26	Facility Services
vpl	VPL	1/6/2016	16.54	Facility Services
vpl	VPL	1/6/2016	6.66	Facility Services
vpl	VPL	1/13/2016	6.33	Facility Services
vpl	VPL	1/13/2016	6.33	Facility Services
vpl	VPL	1/13/2016	6.33	Facility Services
vpl	VPL	1/13/2016	6.33	Facility Services
vpl	VPL	1/13/2016	6.91	Facility Services
vpl	VPL	1/13/2016	12.66	Facility Services
vpl	VPL	1/13/2016	12.67	Facility Services
vpl	VPL	1/20/2016	11.7	Facility Services
vpl	VPL	1/20/2016	11.7	Facility Services
vpl	VPL	1/20/2016	11.7	Facility Services
vpl	VPL	1/20/2016	11.7	Facility Services
vpl	VPL	1/20/2016	11.7	Facility Services
vpl	VPL	1/6/2016	0.95	Facility Services
vpl	VPL	1/6/2016	0.95	Facility Services
vpl	VPL	1/6/2016	0.95	Facility Services
vpl	VPL	1/27/2016	3.04	Facility Services
vpl	VPL	1/27/2016	3.8	Facility Services
vpl	VPL	1/27/2016	12.16	Facility Services
airgas	Airgas	2/1/16	109.03	Facility Services
airgas	Airgas	2/2/16	109.03	Facility Services
airgas	Airgas	2/3/16	109.03	Facility Services
