Date	Vendor	Description	Category	Amount
1/4/2018	airgas	Airgas	Facility Services	86.05
1/18/2018	airgas	Airgas	Facility Services	86.05
1/31/2018	cmptg dvc sprt rchg	cmptg dvc sprt rchg	Facility Services	6.49
1/31/2018	locknetics	Locknetics	Facility Services	635.6
1/31/2018	gen/auto/liab	gen/auto/liab	Facility Services	9.87
1/31/2018	gen/auto/liab	gen/auto/liab	Facility Services	18.87
1/16/2018	hampton research	Hampton Research	Screens	555.52
1/16/2018	hampton research	Hampton Research	Screens	555.52
1/29/2018	hampton research	Hampton Research	Screens	1597.12
1/23/2018	mt rainin	MT Rainin	Lab Supplies	243.15
1/31/2018	network recharge	network recharge	Facility Services	24.64
1/5/2018	qiagen	qiagen	Screens	284.08
1/8/2018	qiagen	qiagen	Screens	284.08
1/12/2018	qiagen	qiagen	Screens	284.09
1/23/2018	qiagen	qiagen	Screens	288.25
1/23/2018	qiagen	qiagen	Screens	288.25
2/1	airgas	Airgas	Facility Services	86.05
2/2	bik rchg	BIK Rchg	Facility Services	80
2/3	cmptg dvc sprt rchg	cmptg dvc sprt rchg	Facility Services	2.88
2/4	locknetics	Locknetics	Facility Services	254.24
2/5	gen/auto/liab	gen/auto/liab	Facility Services	9.87
2/6	gen/auto/liab	gen/auto/liab	Facility Services	16.61
2/7	network recharge	network recharge	Facility Services	21.95
2/8	vpl	VPL	Facility Services	10.27
3/15/2018	airgas	Airgas	Facility Services	86.05
3/31/2018	cmptg dvc sprt rchg	cmptg dvc sprt rchg	Facility Services	8.04
3/9/2018	formulatrix	Formulatrix	Formulatrix	4616.37
3/31/2018	locknetics	Locknetics	Facility Services	1112.3
3/31/2018	gen/auto/liab	gen/auto/liab	Facility Services	9.87
3/31/2018	gen/auto/liab	gen/auto/liab	Facility Services	20.41
3/31/2018	network recharge	network recharge	Facility Services	25.8
3/13/2018	qiagen	qiagen	Screens	300.75
3/22/2018	qiagen	qiagen	Screens	288.25
3/27/2018	qiagen	qiagen	Screens	288.25
3/29/2018	qiagen	qiagen	Screens	300.75
3/29/2018	qiagen	qiagen	Screens	288.25
3/29/2018	qiagen	qiagen	Screens	288.25
4/1	airgas	Airgas	Facility Services	86.05
